"Participant","Results.reception.time","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","EventTime","id","Item","Item2","Condition","Factor1","Factor2","Factor3","Comments","Country","Fluent","School","Home","English","Rating","z","Antecedent","Noun"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",16,0,"experiment","NULL","Scale","Scale","Choice",1673743958397,"5f47fbe03c255115b01b09cf","6","t06","a","each","person","boast","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",32,0,"experiment","NULL","Scale","Scale","Choice",1673743967299,"5f47fbe03c255115b01b09cf","22","t22","a","each","person","boast","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",24,0,"experiment","NULL","Scale","Scale","Choice",1673743981951,"5f47fbe03c255115b01b09cf","14","t14","a","each","person","think","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",22,0,"experiment","NULL","Scale","Scale","Choice",1673743995668,"5f47fbe03c255115b01b09cf","12","t12","c","all","person","think","NULL","Wisconsin","english","english","english","english",5,0.0692448963105517,"all","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",26,0,"experiment","NULL","Scale","Scale","Choice",1673744008485,"5f47fbe03c255115b01b09cf","16","t16","c","all","person","believe","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",28,0,"experiment","NULL","Scale","Scale","Choice",1673744013119,"5f47fbe03c255115b01b09cf","18","t18","a","each","person","profess","NULL","Wisconsin","english","english","english","english",5,0.0692448963105517,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",13,0,"experiment","NULL","Scale","Scale","Choice",1673744036975,"5f47fbe03c255115b01b09cf","3","t03","d","all","people","profess","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",14,0,"experiment","NULL","Scale","Scale","Choice",1673744044293,"5f47fbe03c255115b01b09cf","4","t04","c","all","person","claim","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",23,0,"experiment","NULL","Scale","Scale","Choice",1673744055306,"5f47fbe03c255115b01b09cf","13","t13","b","each","people","claim","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",29,0,"experiment","NULL","Scale","Scale","Choice",1673744058983,"5f47fbe03c255115b01b09cf","19","t19","d","all","people","worry","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",34,0,"experiment","NULL","Scale","Scale","Choice",1673744070156,"5f47fbe03c255115b01b09cf","24","t24","c","all","person","think","NULL","Wisconsin","english","english","english","english",5,0.0692448963105517,"all","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",12,0,"experiment","NULL","Scale","Scale","Choice",1673744073513,"5f47fbe03c255115b01b09cf","2","t02","a","each","person","believe","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",21,0,"experiment","NULL","Scale","Scale","Choice",1673744086449,"5f47fbe03c255115b01b09cf","11","t11","d","all","people","worry","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",17,0,"experiment","NULL","Scale","Scale","Choice",1673744094144,"5f47fbe03c255115b01b09cf","7","t07","d","all","people","believe","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",19,0,"experiment","NULL","Scale","Scale","Choice",1673744102870,"5f47fbe03c255115b01b09cf","9","t09","b","each","people","boast","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",31,0,"experiment","NULL","Scale","Scale","Choice",1673744108500,"5f47fbe03c255115b01b09cf","21","t21","b","each","people","claim","NULL","Wisconsin","english","english","english","english",5,0.0692448963105517,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",18,0,"experiment","NULL","Scale","Scale","Choice",1673744128375,"5f47fbe03c255115b01b09cf","8","t08","c","all","person","claim","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",11,0,"experiment","NULL","Scale","Scale","Choice",1673744134272,"5f47fbe03c255115b01b09cf","1","t01","b","each","people","think","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",25,0,"experiment","NULL","Scale","Scale","Choice",1673744137602,"5f47fbe03c255115b01b09cf","15","t15","d","all","people","boast","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",15,0,"experiment","NULL","Scale","Scale","Choice",1673744147945,"5f47fbe03c255115b01b09cf","5","t05","b","each","people","worry","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",20,0,"experiment","NULL","Scale","Scale","Choice",1673744151115,"5f47fbe03c255115b01b09cf","10","t10","a","each","person","profess","NULL","Wisconsin","english","english","english","english",5,0.0692448963105517,"each","person"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",33,0,"experiment","NULL","Scale","Scale","Choice",1673744161052,"5f47fbe03c255115b01b09cf","23","t23","d","all","people","believe","NULL","Wisconsin","english","english","english","english",7,1.19694749336811,"all","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",27,0,"experiment","NULL","Scale","Scale","Choice",1673744175397,"5f47fbe03c255115b01b09cf","17","t17","b","each","people","worry","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"each","people"
"00588738355217753c711ff9c6565ebf",1673744213,"PennController",30,0,"experiment","NULL","Scale","Scale","Choice",1673744189067,"5f47fbe03c255115b01b09cf","20","t20","c","all","person","profess","NULL","Wisconsin","english","english","english","english",6,0.63309619483933,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",26,0,"experiment","NULL","Scale","Scale","Choice",1673744226702,"61142f08e9170054c5d13402","16","t16","c","all","person","believe","NULL","Texas%2C United States","English","English","English","English",5,-0.0927764288324218,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",28,0,"experiment","NULL","Scale","Scale","Choice",1673744232447,"61142f08e9170054c5d13402","18","t18","a","each","person","profess","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"each","person"
